?	unspecified (?)
PlasmoDB-36_PblacklockiG01_Genome	PlasmoDB-36_PblacklockiG01_Genome
PlasmoDB-36_PcynomolgiM_Genome	PlasmoDB-36_PcynomolgiM_Genome
PlasmoDB-36_PgaboniG01_Genome	PlasmoDB-36_PgaboniG01_Genome
PlasmoDB-36_PpraefalciparumG01_Genome	PlasmoDB-36_PpraefalciparumG01_Genome
PlasmoDB-36_PreichenowiG01_Genome	PlasmoDB-36_PreichenowiG01_Genome
PlasmoDB-38_PvivaxP01_Genome	PlasmoDB-38_PvivaxP01_Genome
PlasmoDB-41_Pfalciparum7G8_Genome	PlasmoDB-41_Pfalciparum7G8_Genome
PlasmoDB-41_PfalciparumCD01_Genome	PlasmoDB-41_PfalciparumCD01_Genome
PlasmoDB-41_PfalciparumDd2_Genome	PlasmoDB-41_PfalciparumDd2_Genome
PlasmoDB-41_PfalciparumGA01_Genome	PlasmoDB-41_PfalciparumGA01_Genome
PlasmoDB-41_PfalciparumGB4_Genome	PlasmoDB-41_PfalciparumGB4_Genome
PlasmoDB-41_PfalciparumGN01_Genome	PlasmoDB-41_PfalciparumGN01_Genome
PlasmoDB-41_PfalciparumHB3_Genome	PlasmoDB-41_PfalciparumHB3_Genome
PlasmoDB-41_PfalciparumIT_Genome	PlasmoDB-41_PfalciparumIT_Genome
PlasmoDB-41_PfalciparumKE01_Genome	PlasmoDB-41_PfalciparumKE01_Genome
PlasmoDB-41_PfalciparumKH01_Genome	PlasmoDB-41_PfalciparumKH01_Genome
PlasmoDB-41_PfalciparumKH02_Genome	PlasmoDB-41_PfalciparumKH02_Genome
PlasmoDB-41_PfalciparumML01_Genome	PlasmoDB-41_PfalciparumML01_Genome
PlasmoDB-41_PfalciparumSD01_Genome	PlasmoDB-41_PfalciparumSD01_Genome
PlasmoDB-41_PfalciparumSN01_Genome	PlasmoDB-41_PfalciparumSN01_Genome
PlasmoDB-41_PfalciparumTG01_Genome	PlasmoDB-41_PfalciparumTG01_Genome
PlasmoDB-42_Pvivax-likePvl01_Genome	PlasmoDB-42_Pvivax-likePvl01_Genome
SchistoDB-29_ShaematobiumEgypt_Genome	SchistoDB-29_ShaematobiumEgypt_Genome
SchistoDB-29_SjaponicumAnhui_Genome	SchistoDB-29_SjaponicumAnhui_Genome
SchistoDB-29_SmansoniPuertoRico_Genome	SchistoDB-29_SmansoniPuertoRico_Genome
ToxoDB-29_EacervulinaHoughton_Genome	ToxoDB-29_EacervulinaHoughton_Genome
ToxoDB-29_EbrunettiHoughton_Genome	ToxoDB-29_EbrunettiHoughton_Genome
ToxoDB-29_EfalciformisBayerHaberkorn1970_Genome	ToxoDB-29_EfalciformisBayerHaberkorn1970_Genome
ToxoDB-29_EmaximaWeybridge_Genome	ToxoDB-29_EmaximaWeybridge_Genome
ToxoDB-29_EmitisHoughton_Genome	ToxoDB-29_EmitisHoughton_Genome
ToxoDB-29_EnecatrixHoughton_Genome	ToxoDB-29_EnecatrixHoughton_Genome
ToxoDB-29_EpraecoxHoughton_Genome	ToxoDB-29_EpraecoxHoughton_Genome
ToxoDB-29_EtenellaHoughton_Genome	ToxoDB-29_EtenellaHoughton_Genome
ToxoDB-29_HhammondiHH34_Genome	ToxoDB-29_HhammondiHH34_Genome
ToxoDB-29_NcaninumLIV_Genome	ToxoDB-29_NcaninumLIV_Genome
ToxoDB-29_SneuronaSN3_Genome	ToxoDB-29_SneuronaSN3_Genome
ToxoDB-29_SneuronaSOSN1_Genome	ToxoDB-29_SneuronaSOSN1_Genome
ToxoDB-29_TgondiiCtCo5_Genome	ToxoDB-29_TgondiiCtCo5_Genome
ToxoDB-29_TgondiiGT1_Genome	ToxoDB-29_TgondiiGT1_Genome
ToxoDB-29_TgondiiME49_Genome	ToxoDB-29_TgondiiME49_Genome
ToxoDB-29_TgondiiRH_Genome	ToxoDB-29_TgondiiRH_Genome
ToxoDB-29_TgondiiTgCATBr5_Genome	ToxoDB-29_TgondiiTgCATBr5_Genome
ToxoDB-29_TgondiiTgCkUg2_Genome	ToxoDB-29_TgondiiTgCkUg2_Genome
ToxoDB-29_TgondiiVEG_Genome	ToxoDB-29_TgondiiVEG_Genome
ToxoDB-30_TgondiiARI_Genome	ToxoDB-30_TgondiiARI_Genome
ToxoDB-30_TgondiiFOU_Genome	ToxoDB-30_TgondiiFOU_Genome
ToxoDB-30_TgondiiGAB2-2007-GAL-DOM2_Genome	ToxoDB-30_TgondiiGAB2-2007-GAL-DOM2_Genome
ToxoDB-30_TgondiiMAS_Genome	ToxoDB-30_TgondiiMAS_Genome
ToxoDB-30_TgondiiRUB_Genome	ToxoDB-30_TgondiiRUB_Genome
ToxoDB-30_TgondiiTgCatPRC2_Genome	ToxoDB-30_TgondiiTgCatPRC2_Genome
ToxoDB-30_TgondiiVAND_Genome	ToxoDB-30_TgondiiVAND_Genome
ToxoDB-30_Tgondiip89_Genome	ToxoDB-30_Tgondiip89_Genome
ToxoDB-31_CcayetanensisCHN_HEN01_Genome	ToxoDB-31_CcayetanensisCHN_HEN01_Genome
ToxoDB-36_CsuisWienI_Genome	ToxoDB-36_CsuisWienI_Genome
ToxoDB-45_CcayetanensisNF1_C8_Genome	ToxoDB-45_CcayetanensisNF1_C8_Genome
ToxoDB-46_TgondiiCAST_Genome	ToxoDB-46_TgondiiCAST_Genome
ToxoDB-46_TgondiiCOUG_Genome	ToxoDB-46_TgondiiCOUG_Genome
ToxoDB-46_TgondiiTgCATBr9_Genome	ToxoDB-46_TgondiiTgCATBr9_Genome
TriTrypDB-29_CfasciculataCfCl_Genome	TriTrypDB-29_CfasciculataCfCl_Genome
TriTrypDB-29_EmonterogeiiLV88_Genome	TriTrypDB-29_EmonterogeiiLV88_Genome
TriTrypDB-29_LaethiopicaL147_Genome	TriTrypDB-29_LaethiopicaL147_Genome
TriTrypDB-29_LarabicaLEM1108_Genome	TriTrypDB-29_LarabicaLEM1108_Genome
TriTrypDB-29_LbraziliensisMHOMBR75M2903_Genome	TriTrypDB-29_LbraziliensisMHOMBR75M2903_Genome
TriTrypDB-29_LbraziliensisMHOMBR75M2904_Genome	TriTrypDB-29_LbraziliensisMHOMBR75M2904_Genome
TriTrypDB-29_LdonovaniBHU1220_Genome	TriTrypDB-29_LdonovaniBHU1220_Genome
TriTrypDB-29_LdonovaniBPK282A1_Genome	TriTrypDB-29_LdonovaniBPK282A1_Genome
TriTrypDB-29_LenriettiiLEM3045_Genome	TriTrypDB-29_LenriettiiLEM3045_Genome
TriTrypDB-29_LgerbilliLEM452_Genome	TriTrypDB-29_LgerbilliLEM452_Genome
TriTrypDB-29_LmajorFriedlin_Genome	TriTrypDB-29_LmajorFriedlin_Genome
TriTrypDB-29_LmajorLV39c5_Genome	TriTrypDB-29_LmajorLV39c5_Genome
TriTrypDB-29_LmajorSD75.1_Genome	TriTrypDB-29_LmajorSD75.1_Genome
TriTrypDB-29_LmexicanaMHOMGT2001U1103_Genome	TriTrypDB-29_LmexicanaMHOMGT2001U1103_Genome
TriTrypDB-29_LpanamensisMHOMCOL81L13_Genome	TriTrypDB-29_LpanamensisMHOMCOL81L13_Genome
TriTrypDB-29_LpyrrhocorisH10_Genome	TriTrypDB-29_LpyrrhocorisH10_Genome
TriTrypDB-29_LseymouriATCC30220_Genome	TriTrypDB-29_LseymouriATCC30220_Genome
TriTrypDB-29_LspMARLEM2494_Genome	TriTrypDB-29_LspMARLEM2494_Genome
TriTrypDB-29_LtarentolaeParrotTarII_Genome	TriTrypDB-29_LtarentolaeParrotTarII_Genome
TriTrypDB-29_LtropicaL590_Genome	TriTrypDB-29_LtropicaL590_Genome
TriTrypDB-29_LturanicaLEM423_Genome	TriTrypDB-29_LturanicaLEM423_Genome
TriTrypDB-29_TbruceiLister427_Genome	TriTrypDB-29_TbruceiLister427_Genome
TriTrypDB-29_TbruceigambienseDAL972_Genome	TriTrypDB-29_TbruceigambienseDAL972_Genome
TriTrypDB-29_TcongolenseIL3000_Genome	TriTrypDB-29_TcongolenseIL3000_Genome
TriTrypDB-29_TcruziCLBrenerEsmeraldo-like_Genome	TriTrypDB-29_TcruziCLBrenerEsmeraldo-like_Genome
TriTrypDB-29_TcruziCLBrenerNon-Esmeraldo-like_Genome	TriTrypDB-29_TcruziCLBrenerNon-Esmeraldo-like_Genome
TriTrypDB-29_TcruziCLBrener_Genome	TriTrypDB-29_TcruziCLBrener_Genome
TriTrypDB-29_TcruziDm28c_Genome	TriTrypDB-29_TcruziDm28c_Genome
TriTrypDB-29_TcruziEsmeraldo_Genome	TriTrypDB-29_TcruziEsmeraldo_Genome
TriTrypDB-29_TcruziJRcl4_Genome	TriTrypDB-29_TcruziJRcl4_Genome
TriTrypDB-29_TcruziTulacl2_Genome	TriTrypDB-29_TcruziTulacl2_Genome
TriTrypDB-29_TcruzimarinkelleiB7_Genome	TriTrypDB-29_TcruzimarinkelleiB7_Genome
TriTrypDB-29_TevansiSTIB805_Genome	TriTrypDB-29_TevansiSTIB805_Genome
TriTrypDB-29_TgrayiANR4_Genome	TriTrypDB-29_TgrayiANR4_Genome
TriTrypDB-29_TrangeliSC58_Genome	TriTrypDB-29_TrangeliSC58_Genome
TriTrypDB-29_TvivaxY486_Genome	TriTrypDB-29_TvivaxY486_Genome
TriTrypDB-31_BayalaiB08-376_Genome	TriTrypDB-31_BayalaiB08-376_Genome
TriTrypDB-32_TcruziSylvioX10-1_Genome	TriTrypDB-32_TcruziSylvioX10-1_Genome
TriTrypDB-36_TcruziSylvioX10-1-2012_Genome	TriTrypDB-36_TcruziSylvioX10-1-2012_Genome
TriTrypDB-36_TcruzicruziDm28c_Genome	TriTrypDB-36_TcruzicruziDm28c_Genome
TriTrypDB-36_TtheileriEdinburgh_Genome	TriTrypDB-36_TtheileriEdinburgh_Genome
TriTrypDB-37_LpanamensisMHOMPA94PSC1_Genome	TriTrypDB-37_LpanamensisMHOMPA94PSC1_Genome
TriTrypDB-37_PconfusumCUL13_Genome	TriTrypDB-37_PconfusumCUL13_Genome
TriTrypDB-39_LinfantumJPCM5_Genome	TriTrypDB-39_LinfantumJPCM5_Genome
TriTrypDB-39_TbruceiTREU927_Genome	TriTrypDB-39_TbruceiTREU927_Genome
TriTrypDB-42_BsaltansLakeKonstanz_Genome	TriTrypDB-42_BsaltansLakeKonstanz_Genome
TriTrypDB-42_LamazonensisMHOMBR71973M2269_Genome	TriTrypDB-42_LamazonensisMHOMBR71973M2269_Genome
TriTrypDB-42_LdonovaniCL-SL_Genome	TriTrypDB-42_LdonovaniCL-SL_Genome
TriTrypDB-42_TbruceiLister427_2018_Genome	TriTrypDB-42_TbruceiLister427_2018_Genome
TriTrypDB-42_TcruziDm28c2014_Genome	TriTrypDB-42_TcruziDm28c2014_Genome
TriTrypDB-42_TcruziDm28c2017_Genome	TriTrypDB-42_TcruziDm28c2017_Genome
TriTrypDB-42_TcruziDm28c2018_Genome	TriTrypDB-42_TcruziDm28c2018_Genome
TriTrypDB-42_TcruziTCC_Genome	TriTrypDB-42_TcruziTCC_Genome
TriTrypDB-46_LbraziliensisMHOMBR75M2904_2019_Genome	TriTrypDB-46_LbraziliensisMHOMBR75M2904_2019_Genome
TriTrypDB-46_LdonovaniLV9_Genome	TriTrypDB-46_LdonovaniLV9_Genome
TriTrypDB-46_TcongolenseIL3000_2019_Genome	TriTrypDB-46_TcongolenseIL3000_2019_Genome
TriTrypDB-46_TcruziBrazilA4_Genome	TriTrypDB-46_TcruziBrazilA4_Genome
TriTrypDB-46_TcruziYC6_Genome	TriTrypDB-46_TcruziYC6_Genome
TrichDB-29_TvaginalisG3_Genome	TrichDB-29_TvaginalisG3_Genome
VectorBase-47_AaegyptiLVP_AGWG_Genome	VectorBase-47_AaegyptiLVP_AGWG_Genome
VectorBase-47_AalbimanusSTECLA_Genome	VectorBase-47_AalbimanusSTECLA_Genome
VectorBase-47_AalbopictusFoshan_Genome	VectorBase-47_AalbopictusFoshan_Genome
VectorBase-47_AarabiensisDongola_Genome	VectorBase-47_AarabiensisDongola_Genome
VectorBase-47_AatroparvusEBRO_Genome	VectorBase-47_AatroparvusEBRO_Genome
VectorBase-47_AchristyiACHKN1017_Genome	VectorBase-47_AchristyiACHKN1017_Genome
VectorBase-47_AcoluzziiMali-NIH_Genome	VectorBase-47_AcoluzziiMali-NIH_Genome
VectorBase-47_AcoluzziiNgousso_Genome	VectorBase-47_AcoluzziiNgousso_Genome
VectorBase-47_AculicifaciesA-37_Genome	VectorBase-47_AculicifaciesA-37_Genome
VectorBase-47_AdarlingiCoari_Genome	VectorBase-47_AdarlingiCoari_Genome
VectorBase-47_AdirusWRAIR2_Genome	VectorBase-47_AdirusWRAIR2_Genome
VectorBase-47_AepiroticusEpiroticus2_Genome	VectorBase-47_AepiroticusEpiroticus2_Genome
VectorBase-47_AfarautiFAR1_Genome	VectorBase-47_AfarautiFAR1_Genome
VectorBase-47_AfunestusFUMOZ_Genome	VectorBase-47_AfunestusFUMOZ_Genome
VectorBase-47_AgambiaePEST_Genome	VectorBase-47_AgambiaePEST_Genome
VectorBase-47_Amaculatusmaculatus3_Genome	VectorBase-47_Amaculatusmaculatus3_Genome
VectorBase-47_AmelasCM1001059_A_Genome	VectorBase-47_AmelasCM1001059_A_Genome
VectorBase-47_AmerusMAF_Genome	VectorBase-47_AmerusMAF_Genome
VectorBase-47_AminimusMINIMUS1_Genome	VectorBase-47_AminimusMINIMUS1_Genome
VectorBase-47_AquadriannulatusSANGWE_Genome	VectorBase-47_AquadriannulatusSANGWE_Genome
VectorBase-47_AsinensisChina_Genome	VectorBase-47_AsinensisChina_Genome
VectorBase-47_AsinensisSINENSIS_Genome	VectorBase-47_AsinensisSINENSIS_Genome
VectorBase-47_AstephensiIndian_Genome	VectorBase-47_AstephensiIndian_Genome
VectorBase-47_AstephensiSDA-500_Genome	VectorBase-47_AstephensiSDA-500_Genome
VectorBase-47_BglabrataBB02_Genome	VectorBase-47_BglabrataBB02_Genome
VectorBase-47_ClectulariusHarlan_Genome	VectorBase-47_ClectulariusHarlan_Genome
VectorBase-47_CquinquefasciatusJohannesburg_Genome	VectorBase-47_CquinquefasciatusJohannesburg_Genome
VectorBase-47_GausteniTTRI_Genome	VectorBase-47_GausteniTTRI_Genome
VectorBase-47_GbrevipalpisIAEA_Genome	VectorBase-47_GbrevipalpisIAEA_Genome
VectorBase-47_GfuscipesIAEA_Genome	VectorBase-47_GfuscipesIAEA_Genome
VectorBase-47_GmorsitansYale_Genome	VectorBase-47_GmorsitansYale_Genome
VectorBase-47_GpallidipesIAEA_Genome	VectorBase-47_GpallidipesIAEA_Genome
VectorBase-47_GpalpalisIAEA_Genome	VectorBase-47_GpalpalisIAEA_Genome
VectorBase-47_IscapularisISE6_Genome	VectorBase-47_IscapularisISE6_Genome
VectorBase-47_IscapularisWikel_Genome	VectorBase-47_IscapularisWikel_Genome
VectorBase-47_LdelienseUoL-UT_Genome	VectorBase-47_LdelienseUoL-UT_Genome
VectorBase-47_LlongipalpisJacobina_Genome	VectorBase-47_LlongipalpisJacobina_Genome
VectorBase-47_Mdomesticaaabys_Genome	VectorBase-47_Mdomesticaaabys_Genome
VectorBase-47_PhumanusUSDA_Genome	VectorBase-47_PhumanusUSDA_Genome
VectorBase-47_PpapatasiIsrael_Genome	VectorBase-47_PpapatasiIsrael_Genome
VectorBase-47_RprolixusCDC_Genome	VectorBase-47_RprolixusCDC_Genome
VectorBase-47_ScalcitransUSDA_Genome	VectorBase-47_ScalcitransUSDA_Genome
VectorBase-47_SscabieiArlian_Genome	VectorBase-47_SscabieiArlian_Genome
