type		NYS Code	Octal Code		SpoDB3 -Most probable family	Random-Initalized -Most probable family
new		S00505	777760004020731		M. tuberculosis T4	Family N16
new		S00506	777703077760771		M. tuberculosis H37Rv	Family N24
397		S00507	777777600000771		M. tuberculosis LAM8	Family N27
101		S00508	774077606767071		M. africanum	Family N17
422		S00509	676773667777600		M. bovis-BCG	Family N7
new		S00510	577743777760771		M. tuberculosis T1	Family N24
520		S00511	777777777760571		M. tuberculosis T1	Family N24
new		S00512	477777777720771		M. tuberculosis Haarlem3	Family N24
316		S00513	777777770020731		M. tuberculosis Haarlem1	Family N5
new		S00514	777777743413311		M. tuberculosis EAI5	Family N14
105		S00515	776160000000071		M. tuberculosis LAM7	Family N29
99		S00516	757777777720771		M. tuberculosis Haarlem3	Family N24
276		S00517	777777770060771		M. tuberculosis Haarlem1	Family N5
new		S00518	777777607760431		M. tuberculosis LAM9	Family N19
new		S00519	777777663560771		M. tuberculosis T1	Family N24
new		S00520	777760077760771		M. tuberculosis H37Rv	Family N16
new		S00521	737777774020771		M. tuberculosis Haarlem1	Family N5
new		S00522	757777707720671		M. tuberculosis Haarlem3	Family N24
371		S00523	777777007720771		M. tuberculosis LAM9	Family N19
472		S00524	377777777720771		M. tuberculosis Haarlem3	Family N24
new		S00525	775777777720751		M. tuberculosis Haarlem3	Family N24
new		S00526	776777577720771		M. tuberculosis Haarlem3	Family N24
283		S00527	777777704020771		M. tuberculosis LAM8	Family N27
new		S00528	777767760000000		Family34	Family N22
511		S00529	777777700020771		M. tuberculosis LAM8	Family N27
new		S00530	767777770000771		M. tuberculosis Haarlem1	Family N5
new		S00531	777743777760771		M. tuberculosis T1	Family N24
new		S00532	777777147720771		M. tuberculosis Haarlem3	Family N24
new		S00533	777777777413571		M. tuberculosis EAI5	Family N14
428		S00534	703777740003371		M. tuberculosis CAS	Family N8
255		S00535	000000000003671		M. tuberculosis Beijing	Family N3
423		S00536	677774207760771		M. tuberculosis LAM1	Family N19
429		S00537	703777740003731		M. tuberculosis CAS	Family N8
new		S00538	740777676000011		M. tuberculosis EAI1	Family N23
new		S00539	777777404020771		M. tuberculosis LAM8	Family N27
new		S00540	776377777740731		M. tuberculosis S	Family N39
new		S00541	717777607760771		M. tuberculosis LAM9	Family N19
new		S00542	663600007400071		M. tuberculosis T4	Family N16
498		S00543	777677777760771		M. tuberculosis T1	Family N24
180		S00544	677777777720771		M. tuberculosis Haarlem3	Family N24
new		S00545	767777777760771		M. tuberculosis T1	Family N24
373		S00546	777777767760771		M. tuberculosis T1	Family N24
68		S00547	775777757760771		M. tuberculosis T1	Family N24
new		S00548	777777757760751		M. tuberculosis T1	Family N24
503		S00549	777737377760731		M. tuberculosis T1	Family N48
35		S00550	777737777420771		M. tuberculosis Haarlem3	Family N34
new		S00551	777737677420771		M. tuberculosis Haarlem3	Family N34
45		S00552	777777764020771		M. tuberculosis Haarlem1	Family N5
new		S00553	777777777000371		M. tuberculosis Haarlem3	Family N34
31		S00554	774037777760700		M. tuberculosis S	Family N35
new		S00555	774003774020771		M. tuberculosis Haarlem1	Family N5
new		S00556	000000007160771		Family36	Family N32
426		S00557	700377600003771		M. tuberculosis CAS	Family N8
new		S00558	500740007774671		M. africanum	Family N42
407		S00559	000036040003771		M. tuberculosis CAS	Family N8
new		S00560	777737207760771		M. tuberculosis LAM9	Family N19
new		S00561	336177607760771		M. tuberculosis LAM3	Family N2
483		S00562	677777477413701		M. tuberculosis EAI2	Family N10
new		S00563	700036777760031		M. tuberculosis X3	Family N20
357		S00564	703777740000771		M. tuberculosis CAS	Family N8
491		S00565	773776777760601		M. tuberculosis X2	Family N6
new		S00566	774000370020771		M. tuberculosis T3	Family N28
new		S00567	007776777760771		M. tuberculosis X1	Family N44
new		S00568	177777764020771		M. tuberculosis Haarlem1	Family N5
new		S00569	757737604020771		M. tuberculosis LAM8	Family N27
new		S00570	770016777760771		M. tuberculosis S	Family N39
65		S00571	777777777760471		M. tuberculosis T1	Family N24
504		S00572	777737737760771		M. tuberculosis T1	Family N24
new		S00573	417777607760771		M. tuberculosis LAM1	Family N19
new		S00574	677740017413771		M. tuberculosis EAI2	Family N10
502		S00575	777727737760771		M. tuberculosis T1	Family N24
new		S00576	700000007177771		Family36	Family N40
new		S00577	777777742760771		M. tuberculosis LAM10	Family N21
new		S00578	777777377013771		M. tuberculosis EAI5	Family N14
109		S00579	477777377413771		M. tuberculosis EAI5	Family N47
510		S00580	777777700003531		M. tuberculosis EAI4	Family N14
new		S00581	777777700000371		M. tuberculosis LAM8	Family N27
486		S00582	703777740000371		M. tuberculosis CAS	Family N8
new		S00583	477777777411071		M. tuberculosis EAI3	Family N1
new		S00584	763777777413771		M. tuberculosis EAI5	Family N14
new		S00585	777777757760611		M. tuberculosis T1	Family N24
new		S00586	777777717720731		M. tuberculosis Haarlem3	Family N24
new		S00587	777437777760700		M. tuberculosis T2	Family N30
new		S00588	777617404760771		M. tuberculosis LAM9	Family N19
205		S00589	737777777760771		M. tuberculosis T1	Family N24
306		S00590	777777601560771		M. tuberculosis LAM9	Family N19
new		S00591	777774000000371		M. tuberculosis LAM8	Family N29
512		S00592	777777707720771		M. tuberculosis Haarlem3	Family N24
467		S00593	000000000020771		M. tuberculosis Haarlem2	Family N25
454		S00594	777777736760731			Family N24
464		S00595	777777777747771		Family33	Family N13
447		S00596	777760377760771		M. tuberculosis X1	Family N44
na		S00597	277777607760771		M. tuberculosis LAM1	Family N19
na		S00598	703777740023771		M. tuberculosis CAS	Family N8
567		S00599	777760007763771		M. tuberculosis T4	Family N16
536		S00600	700000377776671		M. africanum	Family N40
911		S00601	777777600060771		M. tuberculosis LAM8	Family N27
na		S00602	777776777760600		M. tuberculosis X2	Family N6
509		S00603	777777605760771		M. tuberculosis LAM9	Family N19
1581		S00604	577477777420771		M. tuberculosis Haarlem3	Family N34
na		S00605	770777774377671		M. africanum	Family N18
1880		S00606	037603607400011		M. tuberculosis EAI1	Family N26
562		S00607	777737600000000		Family34	Family N22
1929		S00608	777777777760300		M. tuberculosis T2	Family N30
		S00609	777777777600471		M. tuberculosis Haarlem3	Family N24
		S00610	767777774020731		M. tuberculosis Haarlem1	Family N5
		S00611	775700007760771		M. tuberculosis T4	Family N16
		S00612	677177477413771		M. tuberculosis EAI2	Family N10
		S00613	777774077560771		M. tuberculosis H37Rv	Family N44
		S00614	777777600020771		M. tuberculosis LAM8	Family N27
		S00615	637777607760771		M. tuberculosis LAM1	Family N19
		S00616	777737607700171		M. tuberculosis LAM5	Family N38
		S00617	777777601560731		M. tuberculosis LAM9	Family N19
		S00618	677777777413371		M. tuberculosis EAI5	Family N14
		S00619	700000007175771		Family36	Family N40
		S00620	664073677777200		M. bovis-BCG	Family N12
		S00621	737777777413731		M. tuberculosis EAI5	Family N14
		S00622	777577777003731		M. tuberculosis EAI5	Family N14
		S00623	777777777700171		M. tuberculosis Haarlem3	Family N24
		S00624	377737777760771		M. tuberculosis T1	Family N24
		S00625	777777767720771		M. tuberculosis Haarlem3	Family N24
		S00626	676600000000771		Family35	Family N29
		S00627	500076777760771		M. tuberculosis X3	Family N20
		S00628	777777037720771		M. tuberculosis H37Rv	Family N24
		S00629	737777777760571		M. tuberculosis T1	Family N24
		S00630	777736777360771		M. tuberculosis X1	Family N44
		S00631	771777737760771		M. tuberculosis T1	Family N24
		S00632	777777407560731		M. tuberculosis LAM9	Family N19
		S00633	777721607560731		M. tuberculosis LAM6	Family N19
		S00634	037777770060771		M. tuberculosis Haarlem1	Family N5
		S00635	777740007760531		M. tuberculosis T4	Family N16
		S00636	737777777000731		M. tuberculosis Haarlem3	Family N34
		S00637	477777777412071		M. tuberculosis EAI3	Family N1
		S00638	477777777410071		M. tuberculosis EAI3	Family N1
		S00639	477776377413071		M. tuberculosis EAI3	Family N1
		S00640	741737777760771		M. tuberculosis T1	Family N24
		S00641	777777777760760		M. tuberculosis T1	Family N24
		S00642	477775777413071		M. tuberculosis EAI3	Family N1
		S00643	477777777412771		M. tuberculosis EAI5	Family N47
		S00644	777777770020751		M. tuberculosis Haarlem1	Family N5
		S00645	077757607760771		M. tuberculosis LAM1	Family N19
		S00646	776377777760731		M. tuberculosis S	Family N39
		S00647	777777777720751		M. tuberculosis Haarlem3	Family N24
		S00648	703740000000760		Family35	Family N37
		S00649	477777677413071		M. tuberculosis EAI3	Family N1
		S00650	777776404360601		M. tuberculosis LAM4	Family N4
		S00651	703777740002331		M. tuberculosis CAS	Family N8
		S00652	677777607760740		M. tuberculosis LAM1	Family N19
		S00653	577777607760771		M. tuberculosis LAM9	Family N19
		S00654	000000177760771		M. tuberculosis T3	Family N40
		S00655	777740000020771		M. tuberculosis T4	Family N16
		S00656	017777607760771		M. tuberculosis LAM1	Family N19
		S00657	777737607560731		M. tuberculosis LAM9	Family N19
		S00658	777676777760771		M. tuberculosis X1	Family N44
		S00659	777774047560771		M. tuberculosis H37Rv	Family N16
		S00660	777767777760771		M. tuberculosis T1	Family N24
		S00661	777767776760731		M. tuberculosis T1	Family N24
		S00662	577761777740371		M. tuberculosis T1	Family N24
		S00663	776177400000171		M. tuberculosis LAM7	Family N29
		S00664	777760047760771		M. tuberculosis T4	Family N16
		S00665	737777777720771		M. tuberculosis Haarlem3	Family N24
		S00666	777777407720771		M. tuberculosis LAM9	Family N19
		S00667	773777623760771		M. tuberculosis T1	Family N24
		S00668	677777477403771		M. tuberculosis EAI2	Family N10
		S00669	703400000000000		Family35	Family N37
		S00670	000000000002171		M. tuberculosis Beijing	Family N3
		S00671	776377777760431		M. tuberculosis S	Family N39
		S00672	777776001760771		M. tuberculosis LAM9	Family N19
		S00673	607777776000371		M. tuberculosis Haarlem1	Family N5
		S00674	676177477413771		M. tuberculosis EAI2	Family N10
		S00675	777766407760601		M. tuberculosis LAM4	Family N4
		S00676	777777777740171		M. tuberculosis T1	Family N24
		S00677	777773777760771		M. tuberculosis T1	Family N24
		S00678	777777357760771		M. tuberculosis T1	Family N24
		S00679	777737677720731		M. tuberculosis Haarlem3	Family N24
		S00680	777037777760611		M. tuberculosis T1	Family N48
		S00681	777600377413731		M. tuberculosis EAI5	Family N14
		S00682	777717777760731		M. tuberculosis T1	Family N48
		S00683	777766777760771		M. tuberculosis X1	Family N44
		S00684	777777777660771		M. tuberculosis T1	Family N24
		S00685	776267777760771		M. tuberculosis S	Family N39
		S00686	777766777760601		M. tuberculosis X2	Family N6
		S00687	177777606400371		M. tuberculosis LAM9	Family N19
		S00688	770177774020771		M. tuberculosis Haarlem1	Family N5
		S00689	437777777400171		M. tuberculosis EAI5	Family N34
		S00690	740000007560771		M. tuberculosis T3	Family N32
		S00691	777777607760071		M. tuberculosis LAM9	Family N19
		S00692	777777037760771		M. tuberculosis H37Rv	Family N24
		S00693	670177607760731		M. tuberculosis LAM3	Family N2
		S00694	777775747413771		M. tuberculosis EAI5	Family N14
		S00695	777777774020671		M. tuberculosis Haarlem1	Family N5
		S00696	730000777760771		M. tuberculosis T3	Family N28
		S00697	707777770060731		M. tuberculosis Haarlem1	Family N5
		S00698	703777740000731		M. tuberculosis CAS	Family N8
		S00699	703777740003571		M. tuberculosis CAS	Family N8
		S00700	377700000020731		M. tuberculosis T4	Family N16
		S00701	777700004020771		M. tuberculosis T4	Family N16
		S00702	777730000000771		M. tuberculosis LAM8	Family N29
		S00703	770000770000000		Family34	Family N22
		S00704	677777777660771		M. tuberculosis T1	Family N24
		S00705	777776777760571		M. tuberculosis X1	Family N44
		S00706	777717377760771		M. tuberculosis T1	Family N24
		S00707	707777777760771		M. tuberculosis T1	Family N24
		S00708	777767777760671		M. tuberculosis T1	Family N24
		S00709	577637777420771		M. tuberculosis Haarlem3	Family N34
		S00710	677737777760771		M. tuberculosis T1	Family N24
		S00711	777717777760771		M. tuberculosis T1	Family N24
		S00712	770000003760771		M. tuberculosis T3	Family N32
		S00713	677777607560771		M. tuberculosis LAM1	Family N19
		S00714	776137607760771		M. tuberculosis LAM3	Family N2
		S00715	777777000760771		M. tuberculosis LAM9	Family N19
		S00716	777577777760771		M. tuberculosis T1	Family N24
		S00717	776377760360771		M. tuberculosis S	Family N39
		S00718	776377770000731		M. tuberculosis Haarlem1	Family N5
		S00719	777777606000771		M. tuberculosis LAM8	Family N27
		S00720	777737404020771		M. tuberculosis LAM8	Family N27
		S00721	557767777413700		M. tuberculosis EAI5	Family N14
		S00722	477770377413071		M. tuberculosis EAI3	Family N1
		S00723	577777757413771		M. tuberculosis EAI5	Family N14
		S00724	700367740003771		M. tuberculosis CAS	Family N8
		S00725	703767740003771		M. tuberculosis CAS	Family N8
		S00726	777777754020771		M. tuberculosis Haarlem1	Family N5
		S00727	777777777320571		M. tuberculosis Haarlem3	Family N24
		S00728	376377777760771		M. tuberculosis S	Family N39
		S00729	577777777060771		M. tuberculosis T1	Family N24
		S00730	777777777360700		M. tuberculosis T2	Family N30
		S00731	777777757413271		M. tuberculosis EAI5	Family N14
		S00732	777777743413331		M. tuberculosis EAI5	Family N14
		S00733	677774477413771		M. tuberculosis EAI2	Family N10
		S00734	777777606000031		M. tuberculosis EAI1	Family N27
		S00735	777737607460771		M. tuberculosis LAM9	Family N19
		S00736	774067700001071		M. africanum	Family N17
		S00737	777776776760601		M. tuberculosis X2	Family N6
		S00738	637777777700371		M. tuberculosis Haarlem3	Family N24
		S00739	777777761720740		M. tuberculosis Haarlem3	Family N24
		S00740	000177777420771		M. tuberculosis X3	Family N9
		S00741	557767777720771		M. tuberculosis Haarlem3	Family N24
		S00742	777767777720771		M. tuberculosis Haarlem3	Family N24
		S00743	777767775760771		M. tuberculosis T1	Family N24
		S00744	777777774413471		M. tuberculosis EAI4	Family N14
		S00745	777777777760631		M. tuberculosis T1	Family N24
		S00746	457767777413071		M. tuberculosis EAI3	Family N1
		S00747	557767763660771		M. tuberculosis T1	Family N24
		S00748	777737405777731		Family33	Family N13
		S00749	403567740001320		M. tuberculosis CAS	Family N8
		S00750	757777757413771		M. tuberculosis EAI5	Family N14
		S00751	000000000000371		M. tuberculosis Beijing	Family N3
		S00752	741774047560771		M. tuberculosis H37Rv	Family N42
		S00753	777777770020771		M. tuberculosis Haarlem1	Family N5
		S00754	777777750060771		M. tuberculosis Haarlem1	Family N5
		S00755	777777377720771		M. tuberculosis Haarlem3	Family N24
		S00756	037677500020771		M. tuberculosis LAM8	Family N46
		S00757	777777607660771		M. tuberculosis LAM9	Family N19
		S00758	777077037720771		M. tuberculosis H37Rv	Family N24
		S00759	776017400000171		M. tuberculosis LAM7	Family N29
		S00760	777777477413771		M. tuberculosis EAI2	Family N10
		S00761	777777777520771		M. tuberculosis Haarlem3	Family N24
		S00762	777777737660771		M. tuberculosis T1	Family N24
		S00763	777777017760771		M. tuberculosis H37Rv	Family N24
		S00764	777737757420771		M. tuberculosis Haarlem3	Family N34
		S00765	676763777777600		M. bovis-BCG	Family N7
		S00766	577776774360601		M. tuberculosis X2	Family N6
		S00767	777773777410331		M. tuberculosis EAI5	Family N14
		S00768	474377777412771		M. tuberculosis EAI5	Family N47
		S00769	777743557760771		M. tuberculosis T1	Family N24
		S00770	774777777420771		M. tuberculosis Haarlem3	Family N34
		S00771	777700000001731		Family35	Family N29
		S00772	777377777760771		M. tuberculosis T1	Family N24
		S00773	677777477413731		M. tuberculosis EAI2	Family N10
		S00774	677777477013771		M. tuberculosis EAI2	Family N10
		S00775	777734077560771		M. tuberculosis H37Rv	Family N44
		S00776	703776740003771		M. tuberculosis CAS	Family N8
		S00777	676003477413771		M. tuberculosis EAI2	Family N10
		S00778	577437757413771		M. tuberculosis EAI5	Family N14
		S00779	777777776700000		M. tuberculosis T2	Family N23
		S00780	703774000003771		M. tuberculosis CAS	Family N15
		S00781	677777774020771		M. tuberculosis Haarlem1	Family N5
		S00782	577736777760601		M. tuberculosis X2	Family N6
		S00783	700037607760771		M. tuberculosis X3	Family N45
		S00784	774177777413771		M. tuberculosis EAI5	Family N14
		S00785	776377770360771		M. tuberculosis S	Family N39
		S00786	777777740660771		M. tuberculosis LAM10	Family N21
		S00787	777760377720771		M. tuberculosis Haarlem3	Family N24
		S00788	777677777413731		M. tuberculosis EAI5	Family N14
		S00789	770000000003671		Family35	Family N41
		S00790	777777777760751		M. tuberculosis T1	Family N24
		S00791	676773777777200		M. bovis-BCG	Family N7
		S00792	777776774020771		M. tuberculosis Haarlem1	Family N5
		S00793	677777775760771		M. tuberculosis T1	Family N24
		S00794	703777700000371		M. tuberculosis CAS	Family N8
		S00795	777777774760771		M. tuberculosis T1	Family N24
		S00796	777777404720571		M. tuberculosis LAM9	Family N19
		S00797	603777740003771		M. tuberculosis CAS	Family N8
		S00798	776377760000371		M. tuberculosis Haarlem1	Family N5
		S00799	777377577360771		M. tuberculosis T1	Family N24
		S00800	703777747777771		Family33	Family N42
		S00801	700337740003771		M. tuberculosis CAS	Family N8
		S00802	701740007774671		Family33	Family N42
		S00803	703677740003771		M. tuberculosis CAS	Family N8
		S00804	000000007777771		Family36	Family N40
		S00805	777777777760011		M. tuberculosis T2	Family N24
		S00806	777776757412771		M. tuberculosis EAI5	Family N14
		S00807	676501777177600		M. bovis-BCG	Family N7
		S00808	777777776013731		M. tuberculosis EAI5	Family N14
		S00809	777741777413731		M. tuberculosis EAI5	Family N14
		S00810	777774377413731		M. tuberculosis EAI5	Family N14
		S00811	476377777720771		M. tuberculosis S	Family N39
		S00812	777603347760471		M. tuberculosis T1	Family N24
		S00813	703777740003451		M. tuberculosis CAS	Family N8
		S00814	703717700000371		M. tuberculosis CAS	Family N8
		S00815	657737607760771		M. tuberculosis LAM2	Family N19
		S00816	477737607760771		M. tuberculosis LAM2	Family N19
		S00817	677577457413771		M. tuberculosis EAI2	Family N10
		S00818	777734277700771		M. tuberculosis Haarlem3	Family N24
		S00819	777700003760771		M. tuberculosis T4	Family N16
		S00820	177777607560740		M. tuberculosis LAM9	Family N19
		S00821	777777777620771		M. tuberculosis Haarlem3	Family N24
		S00822	407777607760771		M. tuberculosis LAM1	Family N19
		S00823	777703737760771		M. tuberculosis T1	Family N24
		S00824	576377777420771		M. tuberculosis S	Family N34
		S00825	777000377760731		M. tuberculosis T3	Family N28
		S00826	777777777413031		M. tuberculosis EAI5	Family N14
		S00827	403777777760771		M. tuberculosis T1	Family N24
		S00828	777777737720771		M. tuberculosis Haarlem3	Family N24
		S00829	777777770023771		Family33	Family N13
		S00830	777777730020771		M. tuberculosis Haarlem1	Family N5
		S00831	777777370020771		M. tuberculosis Haarlem1	Family N5
		S00832	777760177760771		M. tuberculosis X1	Family N44
		S00833	776377777420771		M. tuberculosis S	Family N34
		S00834	777777600760771		M. tuberculosis LAM9	Family N19
		S00835	776167607760771		M. tuberculosis LAM3	Family N2
		S00836	603777607560771		M. tuberculosis LAM1	Family N19
		S00837	577777743760771		M. tuberculosis LAM10	Family N21
		S00838	777777404760731		M. tuberculosis LAM9	Family N19
		S00839	677776037413771		M. tuberculosis EAI2	Family N10
		S00840	777777400000731		M. tuberculosis LAM8	Family N27
		S00841	777000337760771		M. tuberculosis T3	Family N28
		S00842	000000000003631		M. tuberculosis Beijing	Family N3
		S00843	703707740001771		M. tuberculosis CAS	Family N8
		S00844	704003347560471		M. tuberculosis T3	Family N40
		S00845	767776037760771		M. tuberculosis H37Rv	Family N44
		S00846	676773677777200		M. bovis-BCG	Family N7
		S00847	677777477413751		M. tuberculosis EAI2	Family N10
		S00848	777737774020731		M. tuberculosis Haarlem1	Family N5
		S00849	037777777520771		M. tuberculosis Haarlem3	Family N24
		S00850	777777777720711		M. tuberculosis Haarlem3	Family N24
		S00851	677777607060771		M. tuberculosis LAM1	Family N19
		S00852	741737607560771		M. tuberculosis LAM9	Family N19
		S00853	777777677760771		M. tuberculosis T1	Family N24
		S00854	677773477413771		M. tuberculosis EAI2	Family N10
		S00855	777737770020731		M. tuberculosis Haarlem1	Family N5
		S00856	774000007763771		M. tuberculosis T4	Family N16
		S00857	774177407760771		M. tuberculosis LAM3	Family N2
		S00858	777777600560771		M. tuberculosis LAM9	Family N19
		S00859	777777600000371		M. tuberculosis LAM8	Family N27
		S00860	473776077411771		M. tuberculosis EAI2	Family N10
		S00861	557767607540771		M. tuberculosis LAM9	Family N19
		S00862	777776777760740		M. tuberculosis X1	Family N44
		S00863	702777740003771		M. tuberculosis CAS	Family N8
		S00864	777777757720771		M. tuberculosis Haarlem3	Family N24
		S00865	703777740001771		M. tuberculosis CAS	Family N8
		S00866	777777777413431		M. tuberculosis EAI5	Family N14
		S00867	777317777760731		M. tuberculosis T1	Family N48
		S00868	777734377760771		M. tuberculosis X1	Family N44
		S00869	777777743440771		M. tuberculosis LAM10	Family N21
		S00870	777763777760771		M. tuberculosis T1	Family N24
		S00871	777777477400001		M. tuberculosis EAI1	Family N23
		S00872	676377736000131		M. tuberculosis Haarlem1	Family N5
		S00873	777777777777331		Family33	Family N13
		S00874	777747777413731		M. tuberculosis EAI5	Family N14
		S00875	777777776000371		M. tuberculosis Haarlem1	Family N5
		S00876	774006777760771		M. tuberculosis S	Family N39
		S00877	776000000160771		M. tuberculosis T4	Family N16
		S00878	777777607760371		M. tuberculosis LAM9	Family N19
		S00879	700036776360771		M. tuberculosis X3	Family N20
		S00880	777777777762771		Family33	Family N13
		S00881	677737777760731		M. tuberculosis T1	Family N48
		S00882	676773777677600		M. bovis-BCG	Family N7
		S00883	777770777760771		M. tuberculosis X1	Family N44
		S00884	777776775760571		M. tuberculosis X1	Family N44
		S00885	757777774020771		M. tuberculosis Haarlem1	Family N5
		S00886	777774607760771		M. tuberculosis LAM9	Family N19
		S00887	477777777413701		M. tuberculosis EAI5	Family N47
		S00888	700377740001771		M. tuberculosis CAS	Family N8
		S00889	000037777760770		M. tuberculosis X3	Family N9
		S00890	772700000003631		Family35	Family N29
		S00891	477777777760771		M. tuberculosis T1	Family N24
		S00892	776377577760771		M. tuberculosis S	Family N39
		S00893	777777607760751		M. tuberculosis LAM9	Family N19
		S00894	777777607560731		M. tuberculosis LAM9	Family N19
		S00895	777761777760771		M. tuberculosis T1	Family N24
		S00896	577777774020771		M. tuberculosis Haarlem1	Family N5
		S00897	776177775413731		M. tuberculosis EAI5	Family N14
		S00898	077777606000031		M. tuberculosis EAI1	Family N27
		S00899	403777740003771		M. tuberculosis CAS	Family N8
		S00900	703740000000771		Family35	Family N15
		S00901	777770000000731		M. tuberculosis LAM8	Family N29
		S00902	000000000003751		M. tuberculosis Beijing	Family N3
		S00903	000000007700171		Family36	Family N32
		S00904	777777777760600		M. tuberculosis T2	Family N30
		S00905	636377607760771		M. tuberculosis LAM1	Family N19
		S00906	747777747413771		M. tuberculosis EAI5	Family N14
		S00907	700076777760770		M. tuberculosis X3	Family N20
		S00908	770777703017671		M. africanum	Family N18
		S00909	777777400000171		M. tuberculosis LAM8	Family N27
		S00910	777777757410371		M. tuberculosis EAI5	Family N14
591		S00911	777777757413771		M. tuberculosis EAI5	Family N14
		S00912	777737774020771		M. tuberculosis Haarlem1	Family N5
		S00913	777777777760400		M. tuberculosis T2	Family N30
		S00914	777777777700011		M. tuberculosis T2	Family N23
		S00915	757761777720771		M. tuberculosis Haarlem3	Family N24
		S00916	777777774020770		M. tuberculosis Haarlem1	Family N5
		S00917	600000000000000		Family35	Family N37
		S00918	777477777740371		M. tuberculosis T1	Family N24
		S00919	777776417760771		M. tuberculosis H37Rv	Family N44
		S00920	774337607760700		M. tuberculosis LAM9	Family N19
		S00921	777557757003331		M. tuberculosis EAI5	Family N14
		S00922	757777630760771		M. tuberculosis T1	Family N24
		S00923	777617777777771		Family33	Family N13
		S00924	777737757412371		M. tuberculosis EAI5	Family N14
		S00925	700000007720771		Family36	Family N32
		S00926	777777607700771		M. tuberculosis LAM9	Family N19
		S00927	677777470000000		Family34	Family N22
		S00928	600076777760771		M. tuberculosis X3	Family N20
		S00929	657777607160771		M. tuberculosis LAM1	Family N19
		S00930	703777740000000		Family34	Family N22
		S00931	703737740003771		M. tuberculosis CAS	Family N8
		S00932	677757477413771		M. tuberculosis EAI2	Family N10
		S00933	777777663760771		M. tuberculosis T1	Family N24
		S00934	776177607763771		Family33	Family N13
		S00935	777736407760601		M. tuberculosis LAM4	Family N4
		S00936	717777757760771		M. tuberculosis T1	Family N24
		S00937	777737777740731		M. tuberculosis T1	Family N48
		S00938	000000000000031		M. tuberculosis Beijing	Family N3
		S00939	703777740003071		M. tuberculosis CAS	Family N8
		S00940	777777764020731		M. tuberculosis Haarlem1	Family N5
		S00941	776177607773771		Family33	Family N13
		S00942	776777777760731		M. tuberculosis T1	Family N24
		S00943	037777407560731		M. tuberculosis LAM1	Family N19
		S00944	700777740003771		M. tuberculosis CAS	Family N8
		S00945	774037777760300		M. tuberculosis S	Family N35
		S00946	777760057760771		M. tuberculosis T4	Family N16
		S00947	574777777420771		M. tuberculosis Haarlem3	Family N34
		S00948	776777774020771		M. tuberculosis Haarlem1	Family N5
		S00949	757776777760601		M. tuberculosis X2	Family N6
		S00950	776777777760771		M. tuberculosis T1	Family N24
		S00951	677777777720571		M. tuberculosis Haarlem3	Family N24
		S00952	777777777743771		Family33	Family N13
		S00953	776377677760771		M. tuberculosis S	Family N39
		S00954	777757777760771		M. tuberculosis T1	Family N24
		S00955	577737777760571		M. tuberculosis T1	Family N24
		S00956	477767777413071		M. tuberculosis EAI3	Family N1
		S00957	770777777777661		M. africanum	Family N18
		S00958	777736707760771		M. tuberculosis LAM9	Family N19
		S00959	700076777760731		M. tuberculosis X3	Family N20
		S00960	777767607560771		M. tuberculosis LAM9	Family N19
		S00961	777777760000071		M. tuberculosis Haarlem1	Family N5
		S00962	000000007760331		Family36	Family N32
		S00963	001776777760771		M. tuberculosis X1	Family N44
		S00964	777777754413771		M. tuberculosis EAI4	Family N14
		S00965	777777777677771		Family33	Family N13
		S00966	777777777677731		Family33	Family N13
		S00967	777777774000371		M. tuberculosis Haarlem1	Family N5
		S00968	777017577420771		M. tuberculosis Haarlem3	Family N34
		S00969	777017777420771		M. tuberculosis Haarlem3	Family N34
		S00970	777737776000131		M. tuberculosis Haarlem1	Family N34
		S00971	776177607760740		M. tuberculosis LAM3	Family N2
		S00972	776000003760771		M. tuberculosis T3	Family N16
		S00973	417763607760771		M. tuberculosis LAM1	Family N19
		S00974	637764777760730		M. tuberculosis X1	Family N44
		S00975	777777207760771		M. tuberculosis LAM9	Family N19
		S00976	773777777760771		M. tuberculosis T1	Family N24
		S00977	467777774000071		M. tuberculosis Haarlem1	Family N5
		S00978	777637777410171		M. tuberculosis EAI5	Family N14
		S00979	775777777720771		M. tuberculosis Haarlem3	Family N24
		S00980	177777603760771		M. tuberculosis LAM9	Family N19
		S00981	770000777740171		M. tuberculosis T3	Family N28
		S00982	757700000003371		Family35	Family N29
		S00983	777737737420771		M. tuberculosis Haarlem3	Family N34
		S00984	774037777360700		M. tuberculosis S	Family N35
		S00985	777777437760731		M. tuberculosis H37Rv	Family N24
		S00986	777777403760771		M. tuberculosis LAM9	Family N19
		S00987	777775777760700		M. tuberculosis T2	Family N30
		S00988	777777760020771		M. tuberculosis Haarlem1	Family N5
		S00989	772174607760771		M. tuberculosis LAM3	Family N2
		S00990	777777777000271		M. tuberculosis Haarlem3	Family N34
		S00991	377777777000031		M. tuberculosis EAI1	Family N34
		S00992	777700077760771		M. tuberculosis H37Rv	Family N16
		S00993	037677777760771		M. tuberculosis T1	Family N24
		S00994	737777757760771		M. tuberculosis T1	Family N24
		S00995	700000004020711		Family36	Family N25
		S00996	777777674020771		M. tuberculosis Haarlem1	Family N5
		S00997	777777775720771		M. tuberculosis Haarlem3	Family N24
		S00998	776377777720071		M. tuberculosis S	Family N39
		S00999	773737777760771		M. tuberculosis T1	Family N24
		S01000	776377377760731		M. tuberculosis S	Family N39
